,exp,I,J,x,Q2,Elab,theta,*y,obs,target,curent,lepton beam,units,value,%ptp,%syst,%stat_u,%dFSR_u,%dFSY_c,%dFSE_c,%dFRC_c,%1dFN1_c,%2dFN1_c,%3dFN1_c,%4dFN1_c,%5dFN1_c,%6dFN1_c,%7dFN1_c,%8dFN1_c,%1dFN2_c,%2dFN2_c,%3dFN2_c,%4dFN2_c,%5dFN2_c,%6dFN2_c,%7dFN2_c,%8dFN2_c,%dFSZ_c,%*norm_c
0,slac,1,1,0.275,0.905,10.027,5.988,0.175133696174541,F2,d,e,NC,1,0.26169,2.3,1.1,0.5,2.3,0.7,-0.3,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.7
1,slac,2,1,0.223,0.869,10.027,5.988,0.207946057431687,F2,d,e,NC,1,0.27658,2.3,1.1,0.4,2.2,0.7,-0.3,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.7
2,slac,3,1,0.176,0.824,10.027,5.988,0.248961509003118,F2,d,e,NC,1,0.28495,2.2,1.1,0.4,2.2,0.6,-0.4,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.1,1.7
3,slac,4,1,0.153,0.794,10.027,5.988,0.276305143384073,F2,d,e,NC,1,0.28688,2.3,1.1,1.0,2.1,0.6,-0.5,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.1,1.7
4,slac,5,1,0.119,0.737,10.027,5.988,0.328258048707886,F2,d,e,NC,1,0.28484,2.5,1.3,1.5,2.0,0.8,-0.6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.2,1.7
5,slac,6,1,0.09,0.666,10.027,5.988,0.392971316742812,F2,d,e,NC,1,0.27439,2.5,1.3,1.5,2.0,0.8,-0.7,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.4,1.7
6,slac,7,1,0.067,0.586,10.027,5.988,0.465887675092024,F2,d,e,NC,1,0.25588,2.4,1.5,1.4,1.9,0.7,-0.9,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.8,1.7
7,slac,8,1,0.417,1.685,13.549,5.988,0.158871335911813,F2,d,e,NC,1,0.19828,2.0,0.9,0.5,1.9,0.4,0.3,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.7
8,slac,9,1,0.365,1.647,13.549,5.988,0.177840409641991,F2,d,e,NC,1,0.22649,2.0,0.9,0.5,2.0,0.4,0.3,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.7
9,slac,10,1,0.314,1.601,13.549,5.988,0.200802972578524,F2,d,e,NC,1,0.24937,2.1,0.9,0.4,2.0,0.5,0.2,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.7
10,slac,11,1,0.271,1.552,13.549,5.988,0.225263093967438,F2,d,e,NC,1,0.26875,2.1,0.9,0.4,2.1,0.5,0.2,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.7
11,slac,12,1,0.209,1.455,13.549,5.988,0.273684150594473,F2,d,e,NC,1,0.29341,2.6,0.9,1.5,2.1,0.5,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,0.0,0,0.0,0.0,0.0,0,0.1,1.7
