,exp,target ,length ,x,q2,elab,e',theta,epsilon,obs,target,curent,lepton beam,unit,*value,%stat_u,%sys_u,*%norm_c,*%drc,r1998,%dR_c
0,e140x,D2,4cm,0.1,0.5,3.3,0.636,28.261,0.342,f2,d,e,nc,1,0.268241667245182,3.48628762495587,0.686923321667197,1.73205080756888,1,0.310160132525621,2
1,e140x,D2,4cm,0.1,0.5,4.0,1.336,17.598,0.579,f2,d,e,nc,1,0.266630895085368,2.01851094169902,0.704447155373184,1.73205080756888,1,0.310160132525621,2
2,e140x,D2,4cm,0.1,0.5,4.95,2.286,12.067,0.746,f2,d,e,nc,1,0.264236437338176,1.21619307346646,0.735541044776119,1.73205080756888,1,0.310160132525621,2
3,e140x,D2,4cm,0.1,1.0,6.45,1.121,21.432,0.322,f2,d,e,nc,1,0.318732656190388,2.37910582217179,0.758263123784835,1.73205080756888,1,0.348619688007481,2
4,e140x,D2,4cm,0.1,1.0,6.9,1.571,17.47,0.419,f2,d,e,nc,1,0.31997040599037,2.40988599708307,0.698646986469865,1.73205080756888,1,0.348619688007481,2
5,e140x,D2,4cm,0.1,1.0,7.99,2.661,12.45,0.588,f2,d,e,nc,1,0.318849724398054,1.35968597463084,0.71812843341542,1.73205080756888,1,0.348619688007481,2
6,e140x,D2,15cm,0.35,3.0,5.6,1.032,42.223,0.297,f2,d,e,nc,1,0.222758508623212,2.29214414904152,0.7112,1.73205080756888,1,0.186797005789584,2
7,e140x,D2,15cm,0.35,3.0,6.45,1.882,28.783,0.488,f2,d,e,nc,1,0.219190125191632,1.4597095692383,0.720476706392199,1.73205080756888,1,0.186797005789584,2
8,e140x,D2,15cm,0.35,3.0,7.99,3.422,19.066,0.69,f2,d,e,nc,1,0.224224166650034,0.921634815280716,0.733605403884042,1.73205080756888,1,0.186797005789584,2
9,e140x,D2,15cm,0.35,3.0,9.75,5.182,13.996,0.807,f2,d,e,nc,1,0.224267488011062,0.777167689965323,0.755555555555556,1.73205080756888,1,0.186797005789584,2
10,e140x,D2,15cm,0.5,3.6,4.95,1.113,47.675,0.335,f2,d,e,nc,1,0.129672941728717,2.06450681116698,0.819895116355293,1.73205080756888,1,0.155488360308516,2
11,e140x,D2,15cm,0.5,3.6,5.6,1.763,35.145,0.495,f2,d,e,nc,1,0.129921072534894,1.41737392389648,0.766984402079723,1.73205080756888,1,0.155488360308516,2
12,e140x,D2,15cm,0.5,3.6,6.45,2.613,26.721,0.635,f2,d,e,nc,1,0.13063825519982,0.985382345241312,0.837914691943128,1.73205080756888,1,0.155488360308516,2
13,e140x,D2,15cm,0.5,3.6,6.9,3.063,23.817,0.688,f2,d,e,nc,1,0.132629786224119,1.2132650925312,0.782153179190751,1.73205080756888,1,0.155488360308516,2
14,e140x,D2,15cm,0.5,3.6,9.75,5.913,14.355,0.861,f2,d,e,nc,1,0.131245569362829,0.719954716976407,0.845491564863293,1.73205080756888,1,0.155488360308516,2
15,e140x,D2,4cm,0.5,3.6,4.95,1.113,47.675,0.335,f2,d,e,nc,1,0.128142877519529,1.8055739880552,0.822222222222222,1.73205080756888,1,0.155488360308516,2
16,e140x,D2,4cm,0.5,3.6,5.6,1.763,35.145,0.495,f2,d,e,nc,1,0.129245573024314,1.36565100231817,0.768205574912892,1.73205080756888,1,0.155488360308516,2
17,e140x,D2,4cm,0.5,3.6,6.45,2.613,26.721,0.635,f2,d,e,nc,1,0.131814618635269,1.05080085675456,0.835603569751057,1.73205080756888,1,0.155488360308516,2
18,e140x,D2,4cm,0.5,3.6,7.99,4.153,18.958,0.779,f2,d,e,nc,1,0.132150414920193,0.901448337178834,1.09650834959879,1.73205080756888,1,0.155488360308516,2
