,x,Q2,y,sigma_d measured (b/GeV2),Elab,*W2,*nu,*E',*epsilon,obs,target,curent,lepton beam,units,%dE,%dE1_c,%dE2_c,%dE3_c,%dE4_c,%dEp,%dEp1_c,%dEp2_c,%dEp3_c,%dEp4_c,%dAC_c,%dRC_c,%dRE_c,R,F2d,dFstat,dFsyst,%*norm_c,*epsilon.1,value,%*dST_u
0,0.0078,0.8,0.635,8.019e-06,90,102.643946564103,54.6716964627412,35.3283035372588,0.644107577491351,sig_r,d,mu,nc,1,0.5,0.5,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,2.1,1.7,0.3,0.337,0.2667,0.0027,0.0074,2.5,0.644107577491351,0.242775197782826,1.01237345331834
1,0.0092,1.09,0.709,3.849e-06,90,118.268104869565,63.1547232780198,26.8452767219802,0.536467975713319,sig_r,d,mu,nc,1,0.4,0.4,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,2.2,0.5,0.337,0.2901,0.0062,0.0073,2.5,0.536467975713319,0.25620560949111,2.13719407101
2,0.012,0.9,0.462,5.052e-06,90,74.979844,39.9786780383795,50.0213219616205,0.834389154931398,sig_r,d,mu,nc,1,0.7,0.7,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,2.7,0.8,0.2,0.246,0.2694,0.0054,0.0078,2.5,0.834389154931398,0.260591126688438,2.00445434298441
3,0.0125,1.22,0.596,2.554e-06,90,97.259844,52.0255863539446,37.9744136460554,0.69451622766914,sig_r,d,mu,nc,1,0.6,0.6,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,1.7,1.4,0.3,0.246,0.2946,0.0029,0.0068,2.5,0.69451622766914,0.276831622145588,0.98438560760353
4,0.0139,1.62,0.703,1.286e-06,90,115.806606589928,62.1251399733092,27.8748600266908,0.545708985223731,sig_r,d,mu,nc,1,0.4,0.4,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,1.9,0.5,0.246,0.3102,0.0074,0.0069,2.5,0.545708985223731,0.28237737797865,2.38555770470664
5,0.0173,1.27,0.448,1.971e-06,90,73.0202486242775,39.1313457485487,50.8686542514513,0.846058016352945,sig_r,d,mu,nc,1,0.7,0.7,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,2.0,0.7,0.2,0.19,0.2978,0.004,0.0068,2.5,0.846058016352945,0.290480056823416,1.34318334452653
6,0.0176,1.72,0.594,1.046e-06,90,96.8871167272727,52.0934289591006,37.9065710408994,0.696939166672403,sig_r,d,mu,nc,1,0.6,0.6,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,1.3,1.2,0.3,0.19,0.3304,0.0041,0.0063,2.5,0.696939166672403,0.314412216017383,1.2409200968523
7,0.0185,2.16,0.702,5.819e-07,90,115.476600756757,62.2370771624503,27.7629228375497,0.54720014497321,sig_r,d,mu,nc,1,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.4,0.19,0.3238,0.0084,0.0062,2.5,0.54720014497321,0.300390328980278,2.59419394688079
8,0.0246,1.27,0.32,1.541e-06,90,51.2358602601626,27.5191984329225,62.4808015670775,0.929874663126721,sig_r,d,mu,nc,1,0.9,0.9,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,2.2,0.3,0.1,0.099,0.2967,0.0049,0.0072,2.5,0.929874663126721,0.294825475897209,1.65149983147961
9,0.0247,1.75,0.437,7.932e-07,90,69.9800464291498,37.7666324249199,52.2333675750801,0.854841405780712,sig_r,d,mu,nc,1,0.7,0.7,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,1.4,0.5,0.2,0.099,0.3205,0.0035,0.0054,2.5,0.854841405780712,0.316308719271966,1.09204368174727
10,0.0254,2.36,0.566,4.123e-07,90,91.4332298267717,49.5273911656565,40.4726088343435,0.730208746283791,sig_r,d,mu,nc,1,0.6,0.6,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.9,0.9,0.3,0.099,0.3409,0.0034,0.0049,2.5,0.730208746283791,0.332614625926981,0.997359929598123
11,0.0276,3.24,0.707,1.833e-07,90,115.031148347826,62.5753221470288,27.4246778529712,0.539386344446761,sig_r,d,mu,nc,1,0.5,0.5,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.9,1.7,0.5,0.099,0.3324,0.0133,0.0068,2.5,0.539386344446761,0.318607454919268,4.00120336943442
12,0.0348,1.3,0.231,1.163e-06,90,36.9361658390805,19.9127515133691,70.0872484866309,0.966369167614017,sig_r,d,mu,nc,1,1.2,1.2,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,2.2,0.4,0.1,0.108,0.3057,0.0077,0.0082,2.5,0.966369167614017,0.304697620132051,2.51880929015375
13,0.0348,1.76,0.309,6.129e-07,90,49.6945566436782,26.958802048869,63.041197951131,0.935233517322987,sig_r,d,mu,nc,1,1.0,1.0,0.0,0.0,0.0,-0.4,-0.4,0.0,0.0,0.0,1.3,0.3,0.1,0.108,0.3155,0.0049,0.0053,2.5,0.935233517322987,0.313507974610924,1.55309033280507
14,0.0349,2.45,0.428,3.062e-07,90,68.6304170659026,37.4203481161528,52.5796518838472,0.861763280023628,sig_r,d,mu,nc,1,0.8,0.8,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,0.7,0.4,0.2,0.108,0.3405,0.0036,0.0039,2.5,0.861763280023628,0.33591156827972,1.05726872246696
