,exp,x,Q2,epsilon,sigma_d/p,value,fullerr_u,obs,target,curent,lepton beam,units
0,e99118,0.008,0.0332,0.3521,0.8952,0.8798,0.0774,F2,d/p,e,nc,1
1,e99118,0.008,0.0509,0.25,0.9426,0.917,0.1363,F2,d/p,e,nc,2
2,e99118,0.008,0.0883,0.1605,0.8812,0.8448,0.1628,F2,d/p,e,nc,3
3,e99118,0.0125,0.0359,0.3791,0.8513,0.8367,0.0649,F2,d/p,e,nc,4
4,e99118,0.0125,0.1092,0.1977,1.0555,1.0129,0.1616,F2,d/p,e,nc,5
5,e99118,0.0175,0.0593,0.3692,0.9613,0.9413,0.0464,F2,d/p,e,nc,6
6,e99118,0.0175,0.0977,0.3247,1.004,0.9766,0.0569,F2,d/p,e,nc,7
7,e99118,0.0175,0.1553,0.2186,1.0137,0.9768,0.0703,F2,d/p,e,nc,8
8,e99118,0.025,0.0677,0.539,0.96,0.9452,0.0361,F2,d/p,e,nc,9
9,e99118,0.025,0.1085,0.3985,0.984,0.9621,0.0357,F2,d/p,e,nc,10
10,e99118,0.025,0.2285,0.2567,0.9832,0.9529,0.0405,F2,d/p,e,nc,11
11,e99118,0.035,0.1022,0.5321,0.9646,0.9484,0.0318,F2,d/p,e,nc,12
12,e99118,0.035,0.1362,0.403,0.9909,0.9689,0.0352,F2,d/p,e,nc,13
13,e99118,0.035,0.1765,0.2981,0.9942,0.9656,0.0498,F2,d/p,e,nc,14
14,e99118,0.035,0.3099,0.2974,0.9612,0.9375,0.0329,F2,d/p,e,nc,15
15,e99118,0.05,0.1713,0.5122,0.9732,0.9593,0.0252,F2,d/p,e,nc,16
16,e99118,0.05,0.3712,0.409,0.9445,0.9273,0.0262,F2,d/p,e,nc,17
17,e99118,0.05,0.4644,0.2699,0.9897,0.9651,0.0337,F2,d/p,e,nc,18
18,e99118,0.07,0.2195,0.5146,0.9299,0.914,0.0268,F2,d/p,e,nc,19
19,e99118,0.07,0.2692,0.481,0.9576,0.9426,0.0247,F2,d/p,e,nc,20
20,e99118,0.07,0.4464,0.6947,0.9341,0.9253,0.0212,F2,d/p,e,nc,21
21,e99118,0.07,0.5624,0.4355,0.9641,0.9474,0.0268,F2,d/p,e,nc,22
22,e99118,0.07,0.639,0.2965,0.9894,0.967,0.0323,F2,d/p,e,nc,23
23,e99118,0.09,0.2936,0.4363,0.953,0.9361,0.0259,F2,d/p,e,nc,24
24,e99118,0.09,0.4998,0.4794,0.9419,0.931,0.0215,F2,d/p,e,nc,25
25,e99118,0.09,0.6328,0.5494,0.9384,0.9256,0.0238,F2,d/p,e,nc,26
26,e99118,0.09,0.7947,0.3526,0.9627,0.9436,0.0286,F2,d/p,e,nc,27
27,e99118,0.11,0.5649,0.8075,0.9197,0.9147,0.019,F2,d/p,e,nc,28
28,e99118,0.11,0.8072,0.547,0.9274,0.9162,0.0217,F2,d/p,e,nc,29
29,e99118,0.11,1.0138,0.4026,0.9491,0.9324,0.0269,F2,d/p,e,nc,30
30,e99118,0.14,0.4647,0.6166,0.9187,0.9099,0.0202,F2,d/p,e,nc,31
31,e99118,0.14,0.6204,0.8495,0.908,0.9045,0.019,F2,d/p,e,nc,32
32,e99118,0.14,0.8409,0.6831,0.9045,0.8967,0.0206,F2,d/p,e,nc,33
33,e99118,0.14,1.0623,0.5063,0.8971,0.885,0.0218,F2,d/p,e,nc,34
34,e99118,0.18,0.5036,0.6698,0.9202,0.9136,0.0194,F2,d/p,e,nc,35
35,e99118,0.18,0.7065,0.9009,0.8918,0.8901,0.019,F2,d/p,e,nc,36
36,e99118,0.18,0.9981,0.5371,0.8861,0.8802,0.0185,F2,d/p,e,nc,37
37,e99118,0.18,1.3393,0.5233,0.8947,0.8853,0.0202,F2,d/p,e,nc,38
38,e99118,0.225,0.7407,0.917,0.8775,0.8765,0.0173,F2,d/p,e,nc,39
39,e99118,0.225,1.0817,0.5354,0.8625,0.8583,0.0176,F2,d/p,e,nc,40
40,e99118,0.225,1.3655,0.6727,0.8743,0.87,0.0182,F2,d/p,e,nc,41
41,e99118,0.225,1.6733,0.5761,0.8817,0.8775,0.0185,F2,d/p,e,nc,42
42,e99118,0.275,0.7749,0.9313,0.8371,0.8367,0.0176,F2,d/p,e,nc,43
43,e99118,0.275,1.2362,0.8579,0.8305,0.8303,0.0171,F2,d/p,e,nc,44
44,e99118,0.275,1.7101,0.5221,0.8667,0.8653,0.017,F2,d/p,e,nc,45
45,e99118,0.35,1.3006,0.5544,0.834,0.834,0.0153,F2,d/p,e,nc,46
46,e99118,0.35,1.7109,0.5575,0.8279,0.8279,0.0153,F2,d/p,e,nc,47
47,e99118,0.35,2.184,0.6967,0.8243,0.8243,0.0167,F2,d/p,e,nc,48
48,e99118,0.45,2.366,0.7325,0.7881,0.7881,0.0144,F2,d/p,e,nc,49
