,Elab,exp,theta,E',x,Q2,sigma (ub/srGeV),epsilon,W2,Gamma_v,%stat_u,%syst_u,%rad1_c,%rad2_c,y,*value,obs,target,curent,lepton beam,units
0,5.648,e99118,22.566,3.652,0.84302,3.1581,0.002307,0.847,1.468,0.0001554,1.8075422626788,1.03164282618119,0.563502384048548,1.00563502384049,0.353399433427762,0.0365853991184679,sig_r,p,e,NC,1
1,5.648,e99118,22.566,3.618,0.8212,3.1287,0.002046,0.844,1.562,0.0001764,1.74486803519062,1.08015640273705,0.83088954056696,0.879765395894428,0.359419263456091,0.0328757134976097,sig_r,p,e,NC,1
2,5.648,e99118,22.566,3.584,0.80011,3.0994,0.002025,0.841,1.655,0.0001964,1.71358024691358,1.16049382716049,0.42320987654321,0.299259259259259,0.365439093484419,0.0329582302806917,sig_r,p,e,NC,1
3,5.648,e99118,22.566,3.55,0.77969,3.07,0.002218,0.838,1.748,0.0002155,1.60955816050496,1.18575293056808,0.383228133453562,0.270964833183048,0.371458923512748,0.0365491151366907,sig_r,p,e,NC,1
4,5.648,e99118,22.566,3.516,0.75993,3.0406,0.00252,0.834,1.841,0.0002338,1.49603174603175,1.17857142857143,0.333730158730159,0.236111111111111,0.377478753541076,0.0420271296035292,sig_r,p,e,NC,1
5,5.648,e99118,22.566,3.482,0.74078,3.0112,0.002832,0.831,1.934,0.0002512,1.36652542372881,1.16525423728814,0.420197740112994,0.420197740112994,0.383498583569405,0.0477833994082666,sig_r,p,e,NC,1
6,5.648,e99118,22.566,3.448,0.72223,2.9818,0.00326,0.827,2.027,0.0002677,1.24846625766871,1.14723926380368,0.411042944785276,0.552147239263804,0.389518413597734,0.0556286411998188,sig_r,p,e,NC,1
7,5.648,e99118,22.566,3.414,0.70424,2.9525,0.003846,0.824,2.12,0.0002835,1.18564742589704,1.11544461778471,0.351014040561622,0.47061882475299,0.395538243626062,0.0663532636763992,sig_r,p,e,NC,1
8,5.648,e99118,22.566,3.38,0.68679,2.9231,0.005386,0.82,2.213,0.0002985,1.08614927590048,1.09543260304493,0.441886372075752,0.553286297809135,0.401558073654391,0.0939093787366887,sig_r,p,e,NC,1
9,5.648,e99118,22.566,3.346,0.66986,2.8937,0.005592,0.816,2.307,0.0003127,1.09978540772532,1.11945636623748,0.425608011444921,0.532904148783977,0.40757790368272,0.0985027111207751,sig_r,p,e,NC,1
10,5.648,e99118,22.566,3.312,0.65341,2.8643,0.005073,0.812,2.4,0.0003262,1.09599842302385,1.17681845062093,0.337078651685393,0.358762073723635,0.413597733711048,0.0902475785192004,sig_r,p,e,NC,1
11,5.648,e99118,22.566,3.278,0.63744,2.835,0.005145,0.808,2.493,0.000339,1.08066083576288,1.19727891156463,0.26044703595724,0.347910592808552,0.419617563739377,0.0924121002136154,sig_r,p,e,NC,1
12,5.648,e99118,22.566,3.244,0.62192,2.8056,0.005532,0.804,2.586,0.0003512,1.03940708604483,1.19848156182213,0.303687635574837,0.32176428054953,0.425637393767705,0.100281636380073,sig_r,p,e,NC,1
13,5.648,e99118,22.566,3.21,0.60684,2.7762,0.006029,0.8,2.679,0.0003627,1.00348316470393,1.1909105987726,0.218941781389949,0.295239674904628,0.431657223796034,0.110264325313617,sig_r,p,e,NC,1
14,5.648,e99118,22.566,3.176,0.59216,2.7468,0.006968,0.796,2.772,0.0003735,0.954362801377727,1.18111366245695,0.241102181400689,0.340126291618829,0.437677053824363,0.128530225109467,sig_r,p,e,NC,1
15,5.648,e99118,22.566,3.142,0.57789,2.7174,0.007985,0.791,2.865,0.0003838,0.906700062617407,1.17094552285535,0.232936756418284,0.368190356919223,0.443696883852691,0.148503301006898,sig_r,p,e,NC,1
16,5.648,e99118,22.566,2.828,0.46211,2.4456,0.009514,0.747,3.727,0.000454,1.01114147571999,1.25078831196132,0.0729451334874921,0.103111204540677,0.49929178470255,0.187939190895301,sig_r,p,e,NC,1
17,5.648,e99118,22.566,2.801,0.45358,2.4228,0.009821,0.743,3.799,0.0004581,0.999898177375013,1.25241828734345,0.0657774157417778,0.0930658792383668,0.50407223796034,0.194850279000807,sig_r,p,e,NC,1
18,5.648,e99118,22.566,2.775,0.44521,2.4001,0.01005,0.739,3.871,0.000462,0.987064676616915,1.2636815920398,0.0587064676616915,0.0414925373134328,0.508675637393768,0.200076964716807,sig_r,p,e,NC,1
19,5.648,e99118,18.566,4.063,0.80287,2.3884,0.01071,0.901,1.467,0.0003521,1.44724556489262,1.00840336134454,0.727357609710551,1.02707749766573,0.280630311614731,0.0654419488683202,sig_r,p,e,NC,1
20,5.648,e99118,22.566,2.749,0.43698,2.3773,0.01048,0.735,3.943,0.0004657,0.954198473282443,1.25954198473282,0.0360687022900763,0.0360687022900763,0.513279036827195,0.209294755356809,sig_r,p,e,NC,1
21,5.648,e99118,18.566,4.025,0.77688,2.3662,0.009631,0.899,1.56,0.0003974,1.4328730142249,1.07984632956079,0.643754542622781,0.812999688505866,0.28735835694051,0.060088539958353,sig_r,p,e,NC,1
22,5.648,e99118,22.566,2.723,0.42891,2.3546,0.01072,0.73,4.015,0.0004691,0.932835820895522,1.22201492537313,0.27705223880597,0.138059701492537,0.517882436260623,0.214738718874154,sig_r,p,e,NC,1
23,5.648,e99118,18.566,3.987,0.75207,2.3439,0.008562,0.896,1.653,0.00044,1.47161878065872,1.17963092735342,0.459004905395936,0.429806120065405,0.294086402266289,0.0545039974567227,sig_r,p,e,NC,1
24,5.648,e99118,22.566,2.696,0.42098,2.3318,0.01044,0.726,4.088,0.0004724,0.986590038314176,1.32183908045977,0.353448275862069,0.1772030651341,0.522662889518414,0.209879952333953,sig_r,p,e,NC,1
25,5.648,e99118,18.566,3.949,0.72837,2.3217,0.008467,0.893,1.746,0.0004801,1.46450927128853,1.20467698122121,0.403921105468289,0.356678870910594,0.300814447592068,0.0549640958931156,sig_r,p,e,NC,1
