,x,Q2,target,obs,current,lepton beam,units,value,stat_u,syst_u,dRSY,dRSE,dRN1,dRN2,No,Deps,X2/df,dRRC_c,W2
0,0.1,0.63,d,R,e,NC,1,0.291,0.086,0.052,0.023,0.036,0.028,0.01,5,0.398,0.5,0.0263465,6.549844
1,0.1,0.8,d,R,e,NC,1,0.214,0.17,0.088,0.072,0.022,0.043,0.015,4,0.2,0.0,0.025461,8.079844
2,0.1,1.0,d,R,e,NC,1,0.294,0.06,0.033,0.014,0.022,0.019,0.007,7,0.542,0.4,0.026381,9.879844
3,0.1,1.25,d,R,e,NC,1,0.203,0.076,0.025,0.013,0.016,0.013,0.005,7,0.676,0.4,0.0253345,12.129844
4,0.1,1.6,d,R,e,NC,1,0.366,0.061,0.024,0.014,0.017,0.01,0.004,8,0.652,0.5,0.027209,15.279844
5,0.1,2.0,d,R,e,NC,1,0.285,0.044,0.018,0.008,0.011,0.01,0.004,10,0.604,0.9,0.0262775,18.879844
6,0.1,2.5,d,R,e,NC,1,0.425,0.133,0.077,0.041,0.055,0.033,0.011,5,0.415,0.7,0.0278875,23.379844
7,0.1,3.2,d,R,e,NC,1,0.408,0.131,0.062,0.033,0.044,0.027,0.009,3,0.344,0.0,0.027692,29.679844
8,0.175,0.8,d,R,e,NC,1,0.217,0.12,0.048,0.016,0.033,0.029,0.01,3,0.318,0.0,0.0254955,4.65127257142857
9,0.175,1.0,d,R,e,NC,1,0.274,0.057,0.036,0.012,0.028,0.018,0.006,4,0.589,0.1,0.026151,5.59412971428571
10,0.175,1.25,d,R,e,NC,1,0.435,0.084,0.037,0.017,0.016,0.028,0.009,4,0.438,0.7,0.0280025,6.77270114285714
11,0.175,1.6,d,R,e,NC,1,0.349,0.071,0.033,0.015,0.019,0.022,0.008,7,0.647,0.0,0.0270135,8.42270114285714
12,0.175,2.0,d,R,e,NC,1,0.304,0.055,0.027,0.011,0.02,0.013,0.005,6,0.654,0.3,0.026496,10.3084154285714
13,0.175,2.5,d,R,e,NC,1,0.217,0.044,0.021,0.008,0.015,0.011,0.004,7,0.578,1.3,0.0254955,12.6655582857143
14,0.175,3.2,d,R,e,NC,1,0.331,0.098,0.045,0.028,0.027,0.023,0.008,6,0.389,1.3,0.0268065,15.9655582857143
15,0.175,4.0,d,R,e,NC,1,0.381,0.082,0.044,0.026,0.025,0.024,0.008,7,0.447,1.0,0.0273815,19.7369868571429
16,0.175,5.0,d,R,e,NC,1,0.27,0.172,0.069,0.044,0.026,0.043,0.019,3,0.147,0.2,0.026105,24.4512725714286
17,0.25,1.0,d,R,e,NC,1,0.225,0.133,0.069,0.032,0.034,0.049,0.016,4,0.223,0.1,0.0255875,3.879844
18,0.25,1.25,d,R,e,NC,1,0.259,0.075,0.04,0.015,0.025,0.025,0.009,2,0.463,0.0,0.0259785,4.629844
19,0.25,1.6,d,R,e,NC,1,0.231,0.05,0.029,0.01,0.022,0.015,0.005,8,0.61,0.7,0.0256565,5.679844
20,0.25,2.0,d,R,e,NC,1,0.275,0.065,0.027,0.011,0.02,0.013,0.005,7,0.658,2.0,0.0261625,6.879844
21,0.25,2.5,d,R,e,NC,1,0.205,0.061,0.027,0.012,0.019,0.014,0.005,4,0.463,0.2,0.0253575,8.379844
22,0.25,3.2,d,R,e,NC,1,0.219,0.046,0.022,0.009,0.014,0.013,0.005,7,0.574,1.1,0.0255185,10.479844
23,0.25,4.0,d,R,e,NC,1,0.176,0.089,0.032,0.015,0.012,0.024,0.008,4,0.358,0.3,0.025024,12.879844
24,0.25,5.0,d,R,e,NC,1,0.162,0.065,0.025,0.012,0.014,0.016,0.006,8,0.514,0.3,0.024863,15.879844
25,0.25,6.4,d,R,e,NC,1,0.349,0.201,0.058,0.024,0.047,0.023,0.008,3,0.188,0.1,0.0270135,20.079844
26,0.25,8.0,d,R,e,NC,1,0.266,0.289,0.071,0.039,0.044,0.037,0.014,2,0.168,0.0,0.026059,24.879844
27,0.325,1.0,d,R,e,NC,1,0.308,0.189,0.087,0.041,0.037,0.064,0.022,3,0.183,0.0,0.026542,2.95676707692308
28,0.325,1.25,d,R,e,NC,1,0.46,0.263,0.127,0.062,0.041,0.097,0.034,3,0.173,0.4,0.02829,3.47599784615385
29,0.325,1.6,d,R,e,NC,1,0.334,0.099,0.043,0.017,0.03,0.024,0.009,4,0.357,1.0,0.026841,4.20292092307692
30,0.325,2.0,d,R,e,NC,1,0.238,0.065,0.031,0.011,0.025,0.014,0.005,6,0.531,0.3,0.025737,5.03369015384615
31,0.325,2.5,d,R,e,NC,1,0.225,0.062,0.028,0.013,0.018,0.016,0.005,4,0.606,0.8,0.0255875,6.07215169230769
32,0.325,3.2,d,R,e,NC,1,0.205,0.082,0.03,0.013,0.022,0.015,0.006,4,0.419,0.1,0.0253575,7.52599784615385
33,0.325,4.0,d,R,e,NC,1,0.179,0.059,0.042,0.026,0.017,0.007,0.026,6,0.686,1.4,0.0250585,9.18753630769231
34,0.325,5.0,d,R,e,NC,1,0.138,0.049,0.019,0.014,0.008,0.01,0.003,7,0.57,1.1,0.024587,11.2644593846154
35,0.325,6.4,d,R,e,NC,1,-0.001,0.062,0.022,0.014,0.003,0.014,0.009,8,0.435,1.0,0.0229885,14.1721516923077
36,0.325,8.0,d,R,e,NC,1,0.145,0.091,0.045,0.016,0.012,0.019,0.035,4,0.324,0.0,0.0246675,17.4952286153846
37,0.325,10.0,d,R,e,NC,1,0.448,0.157,0.038,0.019,0.013,0.028,0.012,3,0.245,0.9,0.028152,21.6490747692308
38,0.4,2.0,d,R,e,NC,1,0.28,0.093,0.042,0.014,0.031,0.022,0.01,6,0.45,1.8,0.02622,3.879844
