,exp,Elab,X,Q2,obs,target,lepton beam,current,units,value,stat_u,syst_u,*norm_c
0,hermes,27.6,0.0069,0.291,F2,d,e_plus,NC,1,0.164,0.0023124,0.010267,0.0123
1,hermes,27.6,0.0102,0.404,F2,d,e_plus,NC,1,0.193,0.002509,0.008887,0.014475
2,hermes,27.6,0.0142,0.514,F2,d,e_plus,NC,1,0.217,0.0018228,0.010278,0.016275
3,hermes,27.6,0.0186,0.626,F2,d,e_plus,NC,1,0.242,0.002299,0.010179,0.01815
4,hermes,27.6,0.0244,0.725,F2,d,e_plus,NC,1,0.274,0.0022194,0.013379,0.02055
5,hermes,27.6,0.0325,0.872,F2,d,e_plus,NC,1,0.291,0.0025317,0.011727,0.021825
6,hermes,27.6,0.0398,0.903,F2,d,e_plus,NC,1,0.306,0.0040392,0.012848,0.02295
7,hermes,27.6,0.0486,0.929,F2,d,e_plus,NC,1,0.323,0.0072998,0.02246,0.024225
8,hermes,27.6,0.0595,1.102,F2,d,e_plus,NC,1,0.323,0.008398,0.011333,0.024225
9,hermes,27.6,0.0724,1.127,F2,d,e_plus,NC,1,0.348,0.0091176,0.019577,0.0261
10,hermes,27.6,0.0882,1.167,F2,d,e_plus,NC,1,0.338,0.0085514,0.012649,0.02535
11,hermes,27.6,0.1078,1.205,F2,d,e_plus,NC,1,0.345,0.012627,0.021021,0.025875
12,hermes,27.6,0.133,1.263,F2,d,e_plus,NC,1,0.329,0.010067,0.0093348,0.024675
13,hermes,27.6,0.1657,1.337,F2,d,e_plus,NC,1,0.354,0.009381,0.027054,0.02655
14,hermes,27.6,0.2093,1.447,F2,d,e_plus,NC,1,0.298,0.0065858,0.010624,0.02235
15,hermes,27.6,0.2642,1.749,F2,d,e_plus,NC,1,0.298,0.003725,0.0127,0.02235
16,hermes,27.6,0.3477,2.672,F2,d,e_plus,NC,1,0.217,0.0029729,0.017096,0.016275
17,hermes,27.6,0.4605,4.224,F2,d,e_plus,NC,1,0.142,0.0016046,0.0063048,0.01065
18,hermes,27.6,0.6346,8.688,F2,d,e_plus,NC,1,0.047,0.001316,0.00080564,0.003525
19,hermes,27.6,0.0085,0.354,F2,d,e_plus,NC,1,0.189,0.0024381,0.0087612,0.014175
20,hermes,27.6,0.0117,0.477,F2,d,e_plus,NC,1,0.226,0.0017402,0.0073064,0.01695
21,hermes,27.6,0.0152,0.612,F2,d,e_plus,NC,1,0.241,0.0014701,0.0063992,0.018075
22,hermes,27.6,0.0193,0.77,F2,d,e_plus,NC,1,0.258,0.0016512,0.0069364,0.01935
23,hermes,27.6,0.025,0.896,F2,d,e_plus,NC,1,0.272,0.0014144,0.0052694,0.0204
24,hermes,27.6,0.0327,1.144,F2,d,e_plus,NC,1,0.291,0.0019788,0.0054495,0.021825
25,hermes,27.6,0.0401,1.074,F2,d,e_plus,NC,1,0.308,0.0032648,0.0089688,0.0231
26,hermes,27.6,0.049,1.123,F2,d,e_plus,NC,1,0.318,0.003339,0.0087942,0.02385
27,hermes,27.6,0.0596,1.281,F2,d,e_plus,NC,1,0.337,0.0069085,0.0081836,0.025275
28,hermes,27.6,0.0725,1.359,F2,d,e_plus,NC,1,0.329,0.0060865,0.013222,0.024675
29,hermes,27.6,0.0884,1.399,F2,d,e_plus,NC,1,0.349,0.0068404,0.012623,0.026175
30,hermes,27.6,0.1082,1.554,F2,d,e_plus,NC,1,0.348,0.0042456,0.015207,0.0261
31,hermes,27.6,0.1333,1.632,F2,d,e_plus,NC,1,0.339,0.0062715,0.0065602,0.025425
32,hermes,27.6,0.1661,1.811,F2,d,e_plus,NC,1,0.341,0.0034441,0.014087,0.025575
33,hermes,27.6,0.2104,2.05,F2,d,e_plus,NC,1,0.314,0.0048042,0.0089845,0.02355
34,hermes,27.6,0.2722,2.471,F2,d,e_plus,NC,1,0.285,0.002907,0.011208,0.021375
35,hermes,27.6,0.362,3.79,F2,d,e_plus,NC,1,0.218,0.0018748,0.004977,0.01635
36,hermes,27.6,0.49,6.026,F2,d,e_plus,NC,1,0.12,0.00078,0.0013522,0.009
37,hermes,27.6,0.6641,12.778,F2,d,e_plus,NC,1,0.036,0.0008352,0.0003907,0.0027
38,hermes,27.6,0.027,1.092,F2,d,e_plus,NC,1,0.292,0.0019856,0.009314,0.0219
39,hermes,27.6,0.0338,1.391,F2,d,e_plus,NC,1,0.309,0.0030591,0.011085,0.023175
40,hermes,27.6,0.0401,1.293,F2,d,e_plus,NC,1,0.309,0.002472,0.0094402,0.023175
41,hermes,27.6,0.049,1.46,F2,d,e_plus,NC,1,0.316,0.002212,0.005297,0.0237
42,hermes,27.6,0.0596,1.466,F2,d,e_plus,NC,1,0.323,0.0035207,0.0060658,0.024225
43,hermes,27.6,0.0726,1.627,F2,d,e_plus,NC,1,0.337,0.003707,0.0071006,0.025275
44,hermes,27.6,0.0885,1.691,F2,d,e_plus,NC,1,0.337,0.0037407,0.0050165,0.025275
45,hermes,27.6,0.1082,2.013,F2,d,e_plus,NC,1,0.341,0.0032736,0.0092986,0.025575
46,hermes,27.6,0.1334,2.158,F2,d,e_plus,NC,1,0.335,0.0036515,0.0073569,0.025125
47,hermes,27.6,0.1662,2.458,F2,d,e_plus,NC,1,0.328,0.0040016,0.0033735,0.0246
48,hermes,27.6,0.2105,2.851,F2,d,e_plus,NC,1,0.31,0.002325,0.0074983,0.02325
49,hermes,27.6,0.2724,3.479,F2,d,e_plus,NC,1,0.272,0.0018224,0.0047956,0.0204
50,hermes,27.6,0.3622,5.125,F2,d,e_plus,NC,1,0.205,0.001271,0.0037983,0.015375
51,hermes,27.6,0.4957,8.28,F2,d,e_plus,NC,1,0.113,0.000791,0.0025329,0.008475
52,hermes,27.6,0.0408,1.615,F2,d,e_plus,NC,1,0.311,0.0021148,0.0099084,0.023325
53,hermes,27.6,0.0496,1.927,F2,d,e_plus,NC,1,0.32,0.00192,0.0095425,0.024
54,hermes,27.6,0.0596,1.675,F2,d,e_plus,NC,1,0.328,0.0039688,0.0065729,0.0246
55,hermes,27.6,0.0726,1.928,F2,d,e_plus,NC,1,0.339,0.0049494,0.0073873,0.025425
56,hermes,27.6,0.0885,2.08,F2,d,e_plus,NC,1,0.339,0.0030171,0.0042972,0.025425
57,hermes,27.6,0.1083,2.49,F2,d,e_plus,NC,1,0.336,0.0033936,0.0051837,0.0252
58,hermes,27.6,0.1334,2.795,F2,d,e_plus,NC,1,0.345,0.0028635,0.0092639,0.025875
59,hermes,27.6,0.1663,3.195,F2,d,e_plus,NC,1,0.326,0.002934,0.0062692,0.02445
60,hermes,27.6,0.2106,3.709,F2,d,e_plus,NC,1,0.305,0.0021045,0.005524,0.022875
61,hermes,27.6,0.2726,4.527,F2,d,e_plus,NC,1,0.266,0.0023408,0.0057129,0.01995
62,hermes,27.6,0.3624,6.797,F2,d,e_plus,NC,1,0.197,0.0011426,0.0032208,0.014775
63,hermes,27.6,0.5038,11.344,F2,d,e_plus,NC,1,0.103,0.0010609,0.0016904,0.007725
64,hermes,27.6,0.0597,1.906,F2,d,e_plus,NC,1,0.321,0.002889,0.0035923,0.024075
65,hermes,27.6,0.0726,2.276,F2,d,e_plus,NC,1,0.334,0.0030728,0.0054751,0.02505
66,hermes,27.6,0.0885,2.587,F2,d,e_plus,NC,1,0.335,0.002278,0.0046769,0.025125
67,hermes,27.6,0.1083,3.071,F2,d,e_plus,NC,1,0.338,0.001859,0.005153,0.02535
68,hermes,27.6,0.1335,3.538,F2,d,e_plus,NC,1,0.33,0.002706,0.0031178,0.02475
69,hermes,27.6,0.1664,4.051,F2,d,e_plus,NC,1,0.321,0.0017334,0.0042839,0.024075
70,hermes,27.6,0.2107,4.702,F2,d,e_plus,NC,1,0.298,0.0016986,0.0030795,0.02235
71,hermes,27.6,0.2726,5.685,F2,d,e_plus,NC,1,0.262,0.0017292,0.0053289,0.01965
72,hermes,27.6,0.3679,9.154,F2,d,e_plus,NC,1,0.189,0.0013041,0.0026898,0.014175
73,hermes,27.6,0.0603,2.319,F2,d,e_plus,NC,1,0.324,0.0023652,0.0089784,0.0243
74,hermes,27.6,0.0734,2.806,F2,d,e_plus,NC,1,0.329,0.0021385,0.0078528,0.024675
75,hermes,27.6,0.0894,3.341,F2,d,e_plus,NC,1,0.331,0.0021515,0.0060551,0.024825
76,hermes,27.6,0.1094,3.946,F2,d,e_plus,NC,1,0.331,0.0019198,0.0049622,0.024825
77,hermes,27.6,0.1347,4.618,F2,d,e_plus,NC,1,0.322,0.001771,0.0025866,0.02415
78,hermes,27.6,0.1679,5.344,F2,d,e_plus,NC,1,0.311,0.0017416,0.0046181,0.023325
79,hermes,27.6,0.2128,6.266,F2,d,e_plus,NC,1,0.292,0.0018396,0.0060274,0.0219
80,hermes,27.6,0.2759,7.501,F2,d,e_plus,NC,1,0.249,0.0014193,0.0021898,0.018675
