,exp,x,Q2,W2,epsilon,sigma,stat,value,stf2rec_u,obs,target,lepton beam,current,units,%*norm_c
0,e94110,0.790805,1.297,1.225,0.960558,9.393,2.164,0.007602,0.001751,F2,p,e,NC,1,1.9
1,e94110,0.766109,1.291,1.275,0.959708,30.63,3.726,0.025463,0.003098,F2,p,e,NC,1,1.9
2,e94110,0.742927,1.284,1.325,0.958852,60.76,6.344,0.05174,0.005402,F2,p,e,NC,1,1.9
3,e94110,0.721439,1.278,1.375,0.957982,130.1,8.987,0.113498,0.00784,F2,p,e,NC,1,1.9
4,e94110,0.700422,1.271,1.425,0.957071,162.0,9.136,0.144582,0.008154,F2,p,e,NC,1,1.9
5,e94110,0.68092,1.265,1.475,0.956147,194.0,7.994,0.177173,0.007301,F2,p,e,NC,1,1.9
6,e94110,0.661125,1.258,1.525,0.955143,180.5,6.782,0.168663,0.006337,F2,p,e,NC,1,1.9
7,e94110,0.643378,1.252,1.575,0.954164,152.3,5.723,0.145498,0.005467,F2,p,e,NC,1,1.9
8,e94110,0.625899,1.245,1.625,0.95314,133.5,4.934,0.130243,0.004814,F2,p,e,NC,1,1.9
9,e94110,0.609654,1.239,1.675,0.952104,118.5,4.383,0.118117,0.004369,F2,p,e,NC,1,1.9
10,e94110,0.593604,1.232,1.725,0.951022,112.1,4.139,0.11402,0.00421,F2,p,e,NC,1,1.9
11,e94110,0.578679,1.226,1.775,0.94993,111.1,4.125,0.115349,0.004283,F2,p,e,NC,1,1.9
12,e94110,0.563398,1.219,1.825,0.948745,113.0,4.241,0.11972,0.004493,F2,p,e,NC,1,1.9
13,e94110,0.54966,1.213,1.875,0.947593,117.4,4.444,0.126828,0.004801,F2,p,e,NC,1,1.9
14,e94110,0.536005,1.206,1.925,0.94639,120.4,4.619,0.132451,0.005081,F2,p,e,NC,1,1.9
15,e94110,0.5233,1.2,1.975,0.94518,123.8,4.861,0.138745,0.005448,F2,p,e,NC,1,1.9
16,e94110,0.510637,1.193,2.025,0.943915,128.7,5.137,0.146764,0.005858,F2,p,e,NC,1,1.9
17,e94110,0.49846,1.187,2.075,0.942595,140.3,5.7,0.16305,0.006624,F2,p,e,NC,1,1.9
18,e94110,0.486699,1.18,2.125,0.941266,163.8,6.77,0.193594,0.008001,F2,p,e,NC,1,1.9
19,e94110,0.475755,1.174,2.175,0.939933,198.6,8.223,0.238857,0.00989,F2,p,e,NC,1,1.9
20,e94110,0.464789,1.167,2.225,0.93854,221.5,10.2,0.270743,0.012468,F2,p,e,NC,1,1.9
21,e94110,0.454585,1.161,2.275,0.937144,237.8,8.729,0.295469,0.010846,F2,p,e,NC,1,1.9
22,e94110,0.444335,1.154,2.325,0.935685,213.1,7.815,0.268718,0.009855,F2,p,e,NC,1,1.9
23,e94110,0.43449,1.148,2.375,0.934171,184.8,6.778,0.236832,0.008686,F2,p,e,NC,1,1.9
24,e94110,0.4249,1.141,2.425,0.932644,167.5,6.115,0.217733,0.007949,F2,p,e,NC,1,1.9
25,e94110,0.41598,1.135,2.475,0.931119,161.2,5.898,0.212716,0.007783,F2,p,e,NC,1,1.9
26,e94110,0.406977,1.128,2.525,0.929524,158.4,5.863,0.211974,0.007846,F2,p,e,NC,1,1.9
27,e94110,0.398605,1.122,2.575,0.927933,165.2,6.167,0.224379,0.008376,F2,p,e,NC,1,1.9
28,e94110,0.38988,1.115,2.625,0.926208,169.1,6.448,0.23307,0.008887,F2,p,e,NC,1,1.9
29,e94110,0.382017,1.109,2.675,0.924549,178.7,6.973,0.24993,0.009752,F2,p,e,NC,1,1.9
30,e94110,0.374044,1.102,2.725,0.922812,199.1,7.893,0.282265,0.01119,F2,p,e,NC,1,1.9
31,e94110,0.366636,1.096,2.775,0.921085,215.1,8.552,0.30935,0.012299,F2,p,e,NC,1,1.9
32,e94110,0.35911,1.089,2.825,0.919277,237.3,7.156,0.345762,0.010427,F2,p,e,NC,1,1.9
33,e94110,0.35212,1.083,2.875,0.917481,234.6,6.79,0.346459,0.010028,F2,p,e,NC,1,1.9
34,e94110,0.344795,1.076,2.925,0.915532,218.2,6.258,0.326348,0.00936,F2,p,e,NC,1,1.9
35,e94110,0.338195,1.07,2.975,0.913664,205.7,5.891,0.311484,0.008921,F2,p,e,NC,1,1.9
36,e94110,0.328221,1.06,3.05,0.910706,186.6,5.525,0.287587,0.008515,F2,p,e,NC,1,1.9
37,e94110,0.315756,1.047,3.15,0.906696,178.2,5.339,0.281035,0.00842,F2,p,e,NC,1,1.9
38,e94110,0.303923,1.034,3.25,0.902535,179.2,4.051,0.289062,0.006535,F2,p,e,NC,1,1.9
39,e94110,0.292519,1.021,3.35,0.898145,180.0,4.104,0.297001,0.006772,F2,p,e,NC,1,1.9
40,e94110,0.281824,1.008,3.45,0.893674,177.9,4.097,0.299778,0.006904,F2,p,e,NC,1,1.9
41,e94110,0.271634,0.995,3.55,0.889045,180.9,4.123,0.311014,0.007089,F2,p,e,NC,1,1.9
42,e94110,0.261782,0.982,3.65,0.884174,181.5,4.087,0.318274,0.007167,F2,p,e,NC,1,1.9
43,e94110,0.252506,0.969,3.75,0.879221,179.7,4.021,0.320846,0.007179,F2,p,e,NC,1,1.9
44,e94110,0.243638,0.956,3.85,0.874103,176.8,3.951,0.321102,0.007176,F2,p,e,NC,1,1.9
