,col,X,Q2,scaled,value,obs,target,lepton beam,stat_scaled,stat_u,syst_scaled,syst_u,*norm_c
0,MARATHON,0.195,2.73,0.967,0.967,F2t/F2d,t/d,e,0.003,0.003,0.003,0.007,0.011604
1,MARATHON,0.225,3.15,0.957,0.957,F2t/F2d,t/d,e,0.003,0.003,0.003,0.006,0.011484
2,MARATHON,0.255,3.5700000000000003,0.943,0.943,F2t/F2d,t/d,e,0.004,0.004,0.004,0.006,0.011316
3,MARATHON,0.285,3.9899999999999998,0.935,0.935,F2t/F2d,t/d,e,0.004,0.004,0.004,0.006,0.01122
4,MARATHON,0.315,4.41,0.926,0.926,F2t/F2d,t/d,e,0.005,0.004,0.004,0.006,0.011112
5,MARATHON,0.345,4.83,0.925,0.925,F2t/F2d,t/d,e,0.005,0.005,0.005,0.007,0.0111
6,MARATHON,0.375,5.25,0.931,0.931,F2t/F2d,t/d,e,0.007,0.007,0.007,0.007,0.011172000000000001
7,MARATHON,0.405,5.67,0.895,0.895,F2t/F2d,t/d,e,0.009,0.008,0.008,0.007,0.010740000000000001
8,MARATHON,0.435,6.09,0.888,0.888,F2t/F2d,t/d,e,0.009,0.008,0.008,0.007,0.010656
9,MARATHON,0.465,6.510000000000001,0.89,0.89,F2t/F2d,t/d,e,0.009,0.009,0.009,0.007,0.01068
10,MARATHON,0.495,6.93,0.898,0.898,F2t/F2d,t/d,e,0.009,0.008,0.008,0.007,0.010776
11,MARATHON,0.525,7.3500000000000005,0.885,0.885,F2t/F2d,t/d,e,0.01,0.009,0.009,0.007,0.010620000000000001
12,MARATHON,0.555,7.7700000000000005,0.866,0.866,F2t/F2d,t/d,e,0.01,0.009,0.009,0.007,0.010392
13,MARATHON,0.585,8.19,0.861,0.861,F2t/F2d,t/d,e,0.01,0.009,0.009,0.007,0.010332000000000001
14,MARATHON,0.615,8.61,0.86,0.86,F2t/F2d,t/d,e,0.01,0.01,0.01,0.007,0.01032
15,MARATHON,0.645,9.030000000000001,0.862,0.862,F2t/F2d,t/d,e,0.011,0.01,0.01,0.006,0.010344
16,MARATHON,0.675,9.450000000000001,0.845,0.845,F2t/F2d,t/d,e,0.012,0.011,0.011,0.006,0.01014
17,MARATHON,0.705,9.87,0.863,0.863,F2t/F2d,t/d,e,0.011,0.011,0.011,0.006,0.010356
18,MARATHON,0.735,10.29,0.865,0.865,F2t/F2d,t/d,e,0.011,0.01,0.01,0.006,0.01038
19,MARATHON,0.765,10.71,0.865,0.865,F2t/F2d,t/d,e,0.011,0.011,0.011,0.006,0.01038
20,MARATHON,0.795,11.13,0.87,0.87,F2t/F2d,t/d,e,0.013,0.012,0.012,0.006,0.01044
