,exp,length ,x,Q2,Elab,E',theta,epsilon,target,lepton beam,current,unit,obs,value,stat_u,syst_u,*%norm_c
0,e140x,4cm,0.1,0.5,3.3,0.636,28.261,0.342,p,e_minus,nc,1,sig_r,0.23719,0.0022607,0.0016414,1.73205080756888
1,e140x,4cm,0.1,0.5,4.0,1.336,17.598,0.579,p,e_minus,nc,1,sig_r,0.25691,0.001914,0.0018175,1.73205080756888
2,e140x,4cm,0.1,0.5,4.95,2.286,12.067,0.746,p,e_minus,nc,1,sig_r,0.26553,0.0016611,0.0019662,1.73205080756888
3,e140x,4cm,0.1,1.0,6.45,1.121,21.432,0.322,p,e_minus,nc,1,sig_r,0.27557,0.0027727,0.0021963,1.73205080756888
4,e140x,4cm,0.1,1.0,6.9,1.571,17.47,0.419,p,e_minus,nc,1,sig_r,0.28333,0.0042103,0.0019863,1.73205080756888
5,e140x,4cm,0.1,1.0,7.99,2.661,12.45,0.588,p,e_minus,nc,1,sig_r,0.30389,0.0023301,0.0021847,1.73205080756888
6,e140x,15cm,0.35,3.0,5.6,1.032,42.223,0.297,p,e_minus,nc,1,sig_r,0.24642,0.0029462,0.0017379,1.73205080756888
7,e140x,15cm,0.35,3.0,6.45,1.882,28.783,0.488,p,e_minus,nc,1,sig_r,0.24926,0.0021619,0.0017831,1.73205080756888
8,e140x,15cm,0.35,3.0,7.99,3.422,19.066,0.69,p,e_minus,nc,1,sig_r,0.2613,0.0017154,0.0019074,1.73205080756888
9,e140x,15cm,0.35,3.0,9.75,5.182,13.996,0.807,p,e_minus,nc,1,sig_r,0.26676,0.0018665,0.0020056,1.73205080756888
10,e140x,15cm,0.5,3.6,4.95,1.113,47.675,0.335,p,e_minus,nc,1,sig_r,0.15458,0.0019577,0.0012532,1.73205080756888
11,e140x,15cm,0.5,3.6,5.6,1.763,35.145,0.495,p,e_minus,nc,1,sig_r,0.15753,0.001234,0.001193,1.73205080756888
12,e140x,15cm,0.5,3.6,6.45,2.613,26.721,0.635,p,e_minus,nc,1,sig_r,0.16394,0.00086918,0.0013518,1.73205080756888
13,e140x,15cm,0.5,3.6,6.9,3.063,23.817,0.688,p,e_minus,nc,1,sig_r,0.16439,0.0016508,0.001269,1.73205080756888
14,e140x,15cm,0.5,3.6,9.75,5.913,14.355,0.861,p,e_minus,nc,1,sig_r,0.16874,0.0010255,0.0013931,1.73205080756888
